Address,URL,Employment Type,Compensation,Title,Description
,Competitive salary,tiempo completo,https://mexicocity.craigslist.org/egr/d/customer-success-executive/6791607764.html,Customer Success Executive,"
        
BIG. OPPORTUNITY. AHEAD.

Take the chance to be part of an ambitious team that causes a great impact on the success of our clients, helping them to achieve their goals and improve their results using Sirena throughout the region!

Sirena develops technology that simplifies sales communications. We help businesses communicate better with their customers in order to improve their sales.

Our goal is to be a leading software company that helps businesses leave an impact on their customers. We have the support of the main investor groups in the region (including Mercado Libre). Our offices are located in Buenos Aires, Brazil (São Paulo) and Mexico (CDMX). And this is just the beginning!

We are recruiting a Costumer Success Executive for our Costumer Success team in the Northen Cone region. (""Dolphins"", as we say at Sirena 🐬)

What will a CSE do?

Develop customer retention strategies and manage the expansion of your user base.
Help your clients to be successful! Making the most out of our tool and guiding them in the use of new features.
Lead the correct implementation and on-boarding of Sirena in new accounts. The first 3 months will guide your clients remotely in the implementation process through calls, video calls and smoke signals if necessary, transmitting a positive and professional image.
Evaluate customer satisfaction and commitment, detecting and preventing problems. You will make proactive contacts to your client portfolio based on indicators and alerts tied to your success.
Collaborate in the creation and development of documents and explanations that allow clients to resolve their doubts faster or improve their user experience.
REQUIREMENTS
At least 2 years proven experience as an Account Executive or Customer Success Executive.
Bachelor degree (or soon to have) in careers such as Administration, Engineering, Marketing or alike.
Team player and client oriented.
Basic SQL knowledge. (excluding)
Advanced Excel skills.
Intermediate to advanced level of english.
Good writing Spanish skills.
Full-time, on-site availability to work in Roma Norte, CDMX.
Proactivity and curiosity. We'd like you to be passionate about things working properly.
Live in CDMX or surroundings.
BENEFITS
Competitive salary.
Commission plan according to your portfolio management (client retention and growth)
Growth possibilities
Amazing environment, work with A players.
English lessons
Medical Insurance
Trainings and learning environments    "
Title,Employment Type,URL,Description,Address,Compensation
General Super needed for Mid Size Construction Firm,full-time,https://newyork.craigslist.org/mnh/egr/d/new-york-city-general-super-needed-for/6793093262.html,"
        
We are a Mid Size Construction Company located in Midtown Manhattan specializing in the Structural Trades such as Steel, Fireproofing, Concrete, Masonry and Demolition. 

As our firm is growing, we are interested in hiring a General Super to help our Construction Director manage the daily operations in the Field. 

Prior experience in the Structural Trades is a must, especially Field Experience with these trades. 

Please include your resume and salary requirements in your response to this ad. No coversheets please, they are not necessary. 

Thank you!    ","New York, NY","Based on Experience, Negotiable"
ARCHITECT / DESIGNER,full-time,https://newyork.craigslist.org/fct/egr/d/mamaroneck-architect-designer/6792324833.html,"
        
ARCHITECT / DESIGNER


Residential Design Build Remodeling Firm with offices in Westchester County, NY, Fairfield County CT, is seeking an Architect / Designer with Residential Design/Construction experience. Must be proficient in CAD and possess strong interpersonal skills in directly interacting with our clientele. Incentive based compensation with substantial earning potential. Relocation assistance available. Email resume with salary history.

For more information about our firm, please visit us at www.remodeling-consultants.com    ",Mamaroneck,"70K-80K plus benefits (401K, Medical Insurance)"
KITCHEN/BATH DESIGNER,full-time,https://newyork.craigslist.org/wch/egr/d/mamaroneck-kitchen-bath-designer/6792325753.html,"
        
KITCHEN/BATH DESIGNER



Residential Design Build Remodeling Firm with offices in Westchester County, NY, Fairfield County CT, is seeking a Kitchen/Bath Designer with Residential Design/Construction experience. Must be proficient in CAD and possess strong interpersonal skills in directly interacting with our clientele. Incentive based compensation with substantial earning potential. Relocation assistance available. Email resume with salary history.

For more information about our firm, please visit us at www.remodeling-consultants.com    ",Mamaroneck,"70K-80K plus benefits (401K, Medical Insurance)"
KITCHEN/BATH DESIGNER,full-time,https://newyork.craigslist.org/fct/egr/d/mamaroneck-kitchen-bath-designer/6792326107.html,"
        
KITCHEN/BATH DESIGNER



Residential Design Build Remodeling Firm with offices in Westchester County, NY, Fairfield County CT, is seeking a Kitchen/Bath Designer with Residential Design/Construction experience. Must be proficient in CAD and possess strong interpersonal skills in directly interacting with our clientele. Incentive based compensation with substantial earning potential. Relocation assistance available. Email resume with salary history.

For more information about our firm, please visit us at www.remodeling-consultants.com    ",Mamaroneck,"70K-80K plus benefits (401K, Medical Insurance)"
Landscape design and sales,full-time,https://newyork.craigslist.org/brk/egr/d/brooklyn-landscape-design-and-sales/6792049787.html,"
        
Landscape Sales professional and landscape designer/architect to join our team. We design and build creative, integrated landscape products for high-end commercial and residential clients.

Candidates should have a proven record in landscape sales or design with the ability to present and communicate to a sophisticated client base. Autocad or equivalent software abilities is a plus. Designing and selling landscapes with style for the high-end market is the goal!
Applicants with a landscape design background and landscape sales are appropriate for this position.

You'll find us in Brooklyn NY in an attractive work environment with salary and optional benifit package.

Interested candidates should forward resumes and letter of interest.

Position Requirements:
Minimum of 5 years, high-end landscape sales experience
Degree in Landscape Design/Architecture/interior design preferred
The ability to present and communicate design and product clearly to a sophisticated client base.
Proficiency with landscape design software and related office software
General knowledge of landscape construction.
Desire to grow professionally.    ",Brooklyn,Compensation plus commission with experience and skills.
PLUMBING ENGINEER,full-time,https://newyork.craigslist.org/mnh/egr/d/new-york-city-plumbing-engineer/6792058418.html,"
        
PLUMBING ENGINEER POSITION F/T:

Established NYC/NJ based Engineering Consulting Firm is looking for an experienced Plumbing Engineer.
Ideal candidate will be self motivated and results driven with 7+ years of experience. Candidate will be responsible for designing plumbing & sprinkler systems, hydraulic calculations, site visits, etc. 

Experience with AutoCAD and hydraulic calculations tools required. 

Candidates should be familiar with NY and NJ building codes. Proficiency with Auto Cad and knowledge of NYC and NJ building codes required. 

Bachelor's degree in Engineering preferred but not required.  


For immediate consideration, please email your resume, salary requirements and any other relevant information to the email within the reply box of this posting. 


Be assured that all your information will be treated with the utmost discretion and will remain completely confidential.    ",Upper West Side,"Very competitive, commensurate with experience plus discretionary bonus up to 10K and additional medical and vacation benefits."
INTERIOR DESIGNER,full-time,https://newyork.craigslist.org/fct/egr/d/mamaroneck-interior-designer/6792323145.html,"
        
INTERIOR DESIGNER



Residential Design Build Remodeling Firm with offices in Westchester County, NY, Fairfield County CT, is seeking an Interior Designer with Residential Design/Construction experience. Must be proficient in CAD and possess strong interpersonal skills in directly interacting with our clientele. Incentive based compensation with substantial earning potential. Relocation assistance available. Email resume with salary history.

For more information about our firm, please visit us at www.remodeling-consultants.com    ",Mamaroneck,"70K-80K plus benefits (401K, Medical Insurance)"
Revit Tutor,part-time,https://newyork.craigslist.org/mnh/egr/d/new-york-city-revit-tutor/6792079975.html,"
        
Hi!

Looking to learn Revit and can't seem to find the time to ask questions at work, or maybe it's made it impossible to find a job in the architecture field?

I am offering after work hours 1 on 1 tutoring for Revit (in person or over skype). Brush up on current knowledge, or start from scratch! I can help you gain more confidence in the program. 

I will design the 1 hour sessions around YOU and give YOU weekly assignments that we can discuss together at our session's following. 

Each session is $30 and scheduling is flexible! 

Message me if you are interested!    ",New York,Venmo or Pay Pal
INTERIOR DESIGNER,full-time,https://newyork.craigslist.org/wch/egr/d/mamaroneck-interior-designer/6792322390.html,"
        
INTERIOR DESIGNER



Residential Design Build Remodeling Firm with offices in Westchester County, NY, Fairfield County CT, is seeking an Interior Designer with Residential Design/Construction experience. Must be proficient in CAD and possess strong interpersonal skills in directly interacting with our clientele. Incentive based compensation with substantial earning potential. Relocation assistance available. Email resume with salary history.

For more information about our firm, please visit us at www.remodeling-consultants.com    ",Mamaroneck,"70K-80K plus benefits (401K, Medical Insurance)"
ARCHITECT / DESIGNER,full-time,https://newyork.craigslist.org/wch/egr/d/mamaroneck-architect-designer/6792324500.html,"
        
ARCHITECT / DESIGNER



Residential Design Build Remodeling Firm with offices in Westchester County, NY, Fairfield County CT, is seeking an Architect / Designer with Residential Design/Construction experience. Must be proficient in CAD and possess strong interpersonal skills in directly interacting with our clientele. Incentive based compensation with substantial earning potential. Relocation assistance available. Email resume with salary history.

For more information about our firm, please visit us at www.remodeling-consultants.com    ",Mamaroneck,"70K-80K plus benefits (401K, Medical Insurance)"
Mount Sinai Health System Plumber,full-time,https://newyork.craigslist.org/mnh/egr/d/new-york-city-mount-sinai-health-system/6792328842.html,"
        
Ground breaking science. Advancing medicine. Healing made personal.
 
Engineering Support Services - Req# 2381546
Job Title - Plumber
 
 
Job Summary
Installs and services plumbing and related fixtures throughout the Medical Center.  Performs pipe-fitting duties; makes necessary tests to keep plumbing and piping systems in good condition.  Performs other duties as required.

Roles & Responsibilities.

1.     Lays out, assembles, alters, removes, installs and repairs pipes, fittings and fixture systems such as sanitary, acid-resistant, heating, drainage, oxygen, vacuum, compresses air, nitrous oxide, standpipe, sprinkler systems, boilers, high and low pressure steam, water supply and other systems, as well as equipment attached.
2.     Performs pipe fitting duties; cuts holes in walls, floors and ceilings to gain access to piping; threads, welds, brazes or solders piping systems; properly supports, fastens and insulates piping systems; codes pipes. Installs pipe flanges, gaskets, and bolts into place. Makes up piping installations, including elbows, couplings, valves and other fittings.
3.     Installs, changes and repairs traps, hand-operated, solenoid or motorized valves and controls. Cleans drain lines and sanitary lines; removes blockages. Installs or replaces lavatories, water closets, tubs, shower stalls, slop sinks, grease traps and other equipment.
4.     Makes hydrostatic and other pressure tests and makes necessary repairs or replacements to keep all systems in efficient working condition. Opens clogged drains with plunger or hand and/or power driven plumber's snake; replaces washers in faucets. Traces and locates service lines as required; reads blueprints. Makes regular inspections of systems as assigned.
5.     Performs related duties such as minor carpentry, plastering and painting in connection with plumbing work. Where plumbing work results in major damages to finishes, reports such damage to Foreman.
 
Requirements: 
 
 
•       High School Diploma- or GED
•       *(FDNY) Certificate of fitness F-60 
•       3-5 years of related experience with at least one year of hospital experience.
 
Strength Through Diversity
 
The Mount Sinai Health System believes that diversity is a driver for excellence. We share a common devotion to delivering exceptional patient care. Yet we're as diverse as the city we call home- culturally, ethically, in outlook and lifestyle. When you join us, you become a part of Mount Sinai's unrivaled record of achievement, education and advancement as we revolutionize medicine together.
 
We work hard to acquire and retain the best people, and to create a welcoming, nurturing work environment where you can develop professionally. We share the belief that all employees, regardless of job title or expertise, can make an impact on quality patient care. 
 
Explore more about this opportunity and how you can help us write a new chapter in our story! 
 
Who We Are
 
Over 38,000 employees strong, the mission of the Mount Sinai Health System is to provide compassionate patient care with seamless coordination and to advance medicine through unrivaled education, research, and outreach in the many diverse communities we serve.
 
Formed in September 2013, The Mount Sinai Health System combines the excellence of the Icahn School of Medicine at Mount Sinai with seven premier hospital campuses, including Mount Sinai Beth Israel, Mount Sinai Beth Israel Brooklyn, The Mount Sinai Hospital, Mount Sinai Queens, Mount Sinai West (formerly Mount Sinai Roosevelt), Mount Sinai St. Luke's, and New York Eye and Ear Infirmary of Mount Sinai.
    ",Upper East Side,TBD
Mount Sinai Health System Stationary Engineer,full-time,https://newyork.craigslist.org/mnh/egr/d/new-york-city-mount-sinai-health-system/6792332125.html,"
        
Strength Through Diversity
Ground breaking science. Advancing medicine. Healing made personal.
Engineering Support Services - Req# 2345314
Job Title - Stationary Engineer



Roles & Responsibilities:

Operates, maintains and repairs Plant equipment such as boilers, furnaces, pumps, fans, engines, turbines, heating and ventilating equipment. Supervises others engaged in similar work. Serves as Watch Engineer as assigned. Performs related duties.

 
•	Observes motors and gauges to determine operating condition of equipment and regulates flow of oil and water for proper control of boilers and auxiliary equipment and detects malfunctioning of equipment. Regulates starting devices, adjusts levers and throttles, pumps, generators and other controls of auxiliary equipment. Periodically inspects equipment to determine the need for adjustments and repair. Makes chemical tests of water in boiler and alters content of chemicals as required. Supervises internal cleaning of boilers. Operates and regulates chilled water equipment.
•	Observes motors and gauges to determine operating condition of equipment and regulates flow of oil and water for proper control of boilers and auxiliary equipment and detects malfunctioning of equipment. Regulates starting devices, adjusts levers and throttles, pumps, generators and other controls of auxiliary equipment. Periodically inspects equipment to determine the need for adjustments and repair. Makes chemical tests of water in boiler and alters content of chemicals as required. Supervises internal cleaning of boilers. Operates and regulates chilled water equipment.
•	Records data such as hours of equipment operation, temperature and pressure, fuel consumption, numbers pieces of equipment in accordance with existing regulations and safety procedures.
•	Supervises activities of Boiler Fireman and others as assigned. Coordinates work assignments, determines work priorities in absence of specific instructions from Chief Watch Engineer, inspects work for quality and quantity.
 
 
Requirements:

High School or GED
Stationary Engineer Licensed by the NYC Department of Buildings

Strength Through Diversity

The Mount Sinai Health System believes that diversity is a driver for excellence. We share a common devotion to delivering exceptional patient care. Yet we're as diverse as the city we call home- culturally, ethically, in outlook and lifestyle. When you join us, you become a part of Mount Sinai's unrivaled record of achievement, education and advancement as we revolutionize medicine together.
 
We work hard to acquire and retain the best people, and to create a welcoming, nurturing work environment where you can develop professionally. We share the belief that all employees, regardless of job title or expertise, can make an impact on quality patient care. 

Explore more about this opportunity and how you can help us write a new chapter in our story! 

Who We Are

Over 38,000 employees strong, the mission of the Mount Sinai Health System is to provide compassionate patient care with seamless coordination and to advance medicine through unrivaled education, research, and outreach in the many diverse communities we serve.
 
Formed in September 2013, The Mount Sinai Health System combines the excellence of the Icahn School of Medicine at Mount Sinai with seven premier hospital campuses, including Mount Sinai Beth Israel, Mount Sinai Beth Israel Brooklyn, The Mount Sinai Hospital, Mount Sinai Queens, Mount Sinai West (formerly Mount Sinai Roosevelt), Mount Sinai St. Luke's, and New York Eye and Ear Infirmary of Mount Sinai.
 
The Mount Sinai Health System is an equal opportunity employer. We promote recognition and respect for individual and cultural differences, and we work to make our employees feel valued and appreciated, whatever their race, gender, background, or sexual orientation. 

EOE Minorities/Women/Disabled/Veterans
    ",Upper East Side,TBD
ARCHITECTS FOR HI-PROFILE CRYOGENIC PROJECT (TIMESHIP),full-time,https://newyork.craigslist.org/mnh/egr/d/architects-for-hi-profile-cryogenic/6792388028.html,"
        
ARCHITECTS (JUNIOR / INTERMEDIATE / SENIOR) FOR HI-PROFILE CRYOGENIC PROJECT (TIMESHIP PROJECT)

The Stasis Foundation / Stephen Valentine Architect is seeking two qualified architects for a 650 acre parcel for the development of a sate-of -the-art biotechnology research park in Comfort, Texas. Please refer to the website, www.timeship.org. The range of duties varies, but could include some or all of the following:

* Design & Detail: Development for a new research building for the testing of cryonics capsules.
* Physical Model Building
* Space Planning Studies
* Materials Research
* Construction documents
* Property Infrastructure and oversight; Buildings to be designed
* Construction and Renovation Supervision of existing facilities.
* Supervision of Wind Turbine Testing for potential power suitability 

Job Position-1 (Senior Architect)

The ideal candidate will possess a Bachelor's or Master's Degree in Architecture with at least eight (10) years of planning & construction experience is preferred. Bio-medical building experience would be helpful. Candidates must have an exceptional sense of art of design detailing, architecture & science. Additional infrastructure design development and construction documents skills would be required. Candidate must be meticulous to details and well organized. Experience with exceptional physical model building, graphic design, 3D modeling, and presentations are a plus. 

Candidate-2 (Junior/Intermediate Architect)

The ideal candidate will possess a Bachelor's or Master's Degree in Architecture, and at least two (2) years of experience is preferred. Candidates must have an exceptional sense of art of design, architecture & science. Experience with exceptional museum quality of physical model building, graphic design, 3D modeling, and presentations are a plus. Construction documents skills would be required. Game engine experience using the software program Unity is a plus.

This position initially will be a full-time salaried contract consulting position.
Work will be done at either at the New York office or at the Timeship project site near San Antonio, Texas. Candidates will be working directly with New York architect Stephen Valentine.
Candidate must be very committed. E-mail resume with attached samples, but must have ""DETAILED"" letter of interest. The website is: www.timeship.org 
There is also an award winning book about the project titled: TIMESHIP [The Architecture of Immortality] published in 2009.

BACKGROUND INFORMATION
The Stasis Foundation Biotechnology Research Park (Stasis Research Park) will be a world-class biotech facility located near San Antonio, Texas.
There are two parts to the primary mission to the Stasis Research Park: biotech research and the cryostorage of biological materials. The design and development of cooling systems and devices for the cryopreservation & cryostorage of human organs for transplantation purposes , materials to support fertility; tissue for regenerative medicine; DNA, including the DNA of near extinct species; whole mammalian organisms including humans after legal death for whom all medical procedures have failed.

The Stasis Research Park is owned and managed by the Stasis Foundation, a federally tax exempt 501(c)(3) not-for-profit charitable corporation that conducts health and medical research.

Salary: Commensurate with level of experience

Interviews will be held in either Manhattan (NYC) or San Antonio, TX Please send via email. 

You must include the following supporting materials.

Letter of interest
Resume
Portfolio
3-References (professional)
    ",Midtown East,Salaried position: commensurate with experience
Estimator,full-time,https://newyork.craigslist.org/que/egr/d/estimator/6792603426.html,"
        
Prime Architectural Woodworking Company in NYC looking for an experienced, ambitious, positive and long term oriented individual.
Requirements:
Excellent knowledge of wood technology and materials. Ability to independently work on large commercial and residential projects. High work ethic and self motivation. Very good people skills.
Excellent working conditions, atmosphere, pay and benefits.
Please email your resume, references and salary requirements.
Only candidates from woodworking industry please apply.    ",Long Island City,TBD
"Facilities Engineer, Private Estate",full-time,https://newyork.craigslist.org/mnh/egr/d/new-york-city-facilities-engineer/6792071045.html,"
        
Private estate is seeking a Facilities Engineer to join their staff to maintain the property.  Salary is 70K - 80K, will negotiate for right candidate, full benefits and 401K.

Position Responsibilities:  
•	Assist Estate and Facilities Managers in achieving a high level of service, detail and performance standards - with a focus in HVAC, Networking, Lutron and Audio/Video - in a commercial grade building in a Museum type environment 
•	Perform daily, weekly inspections of property to ensure all systems and aesthetics are in optimal conditions at all times. 
•	Coordinate and support all aspects of maintenance and service on control and HVAC, lighting, and shade systems. 
•	Coordinate with IT department to support all aspects of maintenance and service on video, PC and networked systems.
•	Oversee current facility related systems to a higher level of operational ease and sophistication by integration with new technology processes.  This includes design, implementation and ongoing support.
•	Oversee contractor process; proposals, project/plan design, project work/completion, relationship management, safety, etc.
•	Coordinate the protection, handling and care of Art and luxury finishes and accessories.  
•	Ensure quality issues are identified and reported to the appropriate department and are rectified.
•	Facilitate building system upgrades which may include design, programming, testing, commissioning, operation, maintenance and repair.
•	Advise the Estate Manager & Facilities Manager on budget preparation, program changes, goal establishments and short/long range planning.
•	On-call responsibility that requires immediate response to facility related needs.
•	Adhere to and ensure compliance with all relevant OSHA safety regulations for all facility personnel. 

Essential skills and experience:  
•	College degree preferred; specialized training or licensing required.
•	Excellent knowledge of HVAC, MEP, Lighting and/or automation control systems, and other equipment associated with commercial grade buildings.
•	Intermediate understanding of Information Technology, Networking, and Audio/Video.
•	Experience in level 5 finishes and/or working in 5-star hotel or museum atmosphere.
•	Great problem solving and conflict resolution skills.
•	Excellent computer and smartphone proficiency.
•	Excellent interpersonal and communication skills; positive attitude
    ",Midtown,"70K - 80K negotiable/DOE, Full benefits, 401K"
Architectural Designer,full-time,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural-designer/6792640223.html,"
        
Title:	
	Architectural Designer (New York, Manhattan)
Duties: 
1. Collaborates and coordinates with design consultants, trade subcontractors, clients and construction team to ensure project's design requirements and amendments are satisfactorily met during the pre-construction phase
2. Manage design related RFIs with sub-contractors of all trades during budgeting, buyout and construction
3. Develops design solutions by attending client meetings and liaising with consultants
4. Performs conceptual design level constructability review and design related research to optimize construction methods, explore the local subcontractor market and generate bidding interest during value engineering stage
5. Performs site inspections, review architectural drawings and material submittals to ensure construction components are consistent with specifications and design during construction phase
	
Requirements:
Education required Master of Architecture or equivalent 2 years experience as an Architect or Architectural Drafter or similar Software: Experience working with AutoCAD, SketchUp and Bluebeam Microsoft Office Suite

Send your resume through CL's relay Email
    ",,"$79,768"
Landscape Designer/Architect - Landscape sales,full-time,https://newyork.craigslist.org/fct/egr/d/landscape-designer-architect-landscape/6789011327.html,"
        
Elise Landscape Design Group

Landscape Sales professional and landscape designer/architect to join our team. We design and build creative, integrated landscape plans for high-end residential clients.

Candidates should have a proven record in residential landscape sales with the ability to present and communicate to a sophisticated client base. Autocad or equivalent software abilities a plus. Designing and selling landscapes with style for the high-end residential market key!
Applicants with a landscape design background and exterior design are appropriate for this position.

You'll find us in New Canaan in an attractive work environment with an exceptional benefits, salary and retirement package.

Interested candidates should forward resumes and letter of interest.

The Elise Design Group and Elise Landscapes & Nursery is an established award winning Landscape Design and Build firm serving the greater Fairfield and Westchester County areas. Our company provides high quality, innovative landscape design, construction and maintenance services as well as retailing landscape plantings, unique garden elements and furnishings.

Position Requirements:
Minimum of 5 years, high-end residential landscape sales experience
Degree in Landscape Design/Architecture/interior design preferred
The ability to present and communicate design concepts clearly to a sophisticated client base.
Proficiency with landscape design software and related office software
General knowledge of permitting and zoning processes
Desire to grow professionally

    ",New Canaan,Based on experience and skill. Excellent benefit program
